document_id,publication_document_id,model,corpus,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,outlier_probability,suggested_topic,reassignment_method,reassignment_confidence,silhouette,distance_to_centroid,local_consistency
doi:10.1186/s12916-020-01539-4,doi:10.1186/s12916-020-01539-4,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.007445056254716242,38,0.007444302140249408,7.541144668339606e-07,True,True,2020,en,A citizen science study of short physical activity breaks at school: improvements in cognition and wellbeing with self-paced activity,10.1186/s12916-020-01539-4,OpenAlex,metadata,-1,-1,False,-1,0.9925549437452837,,,,,,0.8
doi:10.5281/zenodo.19560588,doi:10.5281/zenodo.19560588,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.013720253760583258,33,0.013696868385983281,2.3385374599976805e-05,True,True,2026,es,MOMENTOS DE VERDAD Y BALANCE SCORECARD: PROPUESTA PARA OPTIMIZAR LA GESTIÓN ESTRATÉGICA EDUCATIVA,10.5281/zenodo.19560588,OpenAlex,metadata,-1,-1,False,-1,0.9862797462394167,,,,,,1.0
doi:10.1177/17411432241293563,doi:10.1177/17411432241293563,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.1033263966076065,9,0.10330181177290776,2.4584834698734848e-05,True,True,2024,en,Caring leadership practices in Chilean educational communities: Perceptions of school principals and teachers,10.1177/17411432241293563,OpenAlex,metadata,-1,-1,False,-1,0.8966736033923935,,,,,,0.5
record:ac17dae244a7ab05002e770a,record:ac17dae244a7ab05002e770a,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.017220253368082028,36,0.0171836441040089,3.6609264073127895e-05,True,True,2023,pt,Gestión escolar a prueba de turbilencias: Orientaciones y desafios en el contexto educativo português,,OpenAlex,metadata,-1,-1,False,-1,0.9827797466319179,,,,,,1.0
doi:10.37811/cl_rcm.v10i3.24669,doi:10.37811/cl_rcm.v10i3.24669,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01186314909923761,35,0.011816434337978608,4.67147612590018e-05,True,True,2026,es,Evaluación de Competencias Directivas como Herramienta para la Mejora de la Calidad Educativa Institucional,10.37811/cl_rcm.v10i3.24669,OpenAlex,metadata,-1,-1,False,-1,0.9881368509007624,,,,,,1.0
doi:10.33996/revistahorizontes.v8i32.726,doi:10.33996/revistahorizontes.v8i32.726,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.017037916453744292,35,0.016987815791406152,5.0100662338140034e-05,True,True,2024,es,Gestión escolar en instituciones educativas públicas en contextos de emergencia sanitaria,10.33996/revistahorizontes.v8i32.726,OpenAlex,metadata,-1,-1,False,-1,0.9829620835462557,,,,,,1.0
record:63564ec815413f42fd35c1f5,record:63564ec815413f42fd35c1f5,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.018465455878140195,17,0.018414607307810693,5.084857032950155e-05,True,True,2024,es,"Gestión escolar y convivencia escolar en un colegio público del distrito de Chosica, 2024",,OpenAlex,metadata,-1,-1,False,-1,0.9815345441218598,,,,,,0.9
doi:10.46498/reduipb.v26i2.1643,doi:10.46498/reduipb.v26i2.1643,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.018003550159752447,35,0.017946449516872465,5.710064287998279e-05,True,True,2022,es,Clima organizacional y el desarrollo de la gestión escolar del preescolar de la Universidad Metropolitana,10.46498/reduipb.v26i2.1643,OpenAlex,metadata,-1,-1,False,-1,0.9819964498402476,,,,,,1.0
doi:10.37843/rted.v16i2.389,doi:10.37843/rted.v16i2.389,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.016617697933146366,35,0.016550223133400266,6.74747997461006e-05,True,True,2023,es,Gestión Escolar en las Instituciones del Nivel Inicial,10.37843/rted.v16i2.389,OpenAlex,metadata,-1,-1,False,-1,0.9833823020668536,,,,,,1.0
doi:10.29173/iasl8023,doi:10.29173/iasl8023,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011943524402477246,27,0.011852321574130449,9.12028283467977e-05,True,True,2021,en,School Librarians and Educational Leadership: Productive Pedagogy for the Information Age School,10.29173/iasl8023,OpenAlex,metadata,-1,-1,False,-1,0.9880564755975227,,,,,,1.0
record:839e0adbf56636c738a52835,record:839e0adbf56636c738a52835,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.05131431961932878,20,0.05121535014249505,9.896947683372959e-05,True,True,2024,es,Disseny d'una eina mitjançant programació matemàtica per a la gestió i organització de l'horari anual d'una escola de secundària a València,,OpenAlex,metadata,-1,-1,False,-1,0.9486856803806712,,,,,,1.0
doi:10.55028/dfbv8s36,doi:10.55028/dfbv8s36,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011442904408468615,28,0.011312630143161976,0.00013027426530663917,True,True,2026,en,Gestão e provimento à direção escolar: estado do conhecimento a partir de dissertações de mestrados profissionais (2014-2024),10.55028/dfbv8s36,OpenAlex,metadata,-1,-1,False,-1,0.9885570955915314,,,,,,1.0
