document_id,publication_document_id,model,corpus,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,outlier_probability,suggested_topic,reassignment_method,reassignment_confidence,silhouette,distance_to_centroid,local_consistency
doi:10.46498/reduipb.v25i1.1462,doi:10.46498/reduipb.v25i1.1462,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.12800465376890588,37,0.037193225063796694,0.09081142870510919,True,True,2021,es,Gestión escolar y liderazgo del directivo: Aporte para la calidad educativa,10.46498/reduipb.v25i1.1462,OpenAlex,metadata,-1,-1,False,-1,0.8719953462310941,,,,,,0.5
doi:10.37811/cl_rcm.v5i5.841,doi:10.37811/cl_rcm.v5i5.841,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.07877365709708684,9,0.06272864305719131,0.016045014039895528,True,True,2021,es,El liderazgo directivo en la gestión escolar. Comparación de casos,10.37811/cl_rcm.v5i5.841,OpenAlex,metadata,-1,-1,False,-1,0.9212263429029132,,,,,,1.0
doi:10.37811/cl_rcm.v6i4.2809,doi:10.37811/cl_rcm.v6i4.2809,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.044708853490486096,15,0.04256797222613808,0.002140881264348013,True,True,2022,es,La gestión escolar: una revisión de las investigaciones,10.37811/cl_rcm.v6i4.2809,OpenAlex,metadata,-1,-1,False,-1,0.9552911465095139,,,,,,1.0
doi:10.15517/revedu.v45i1.40537,doi:10.15517/revedu.v45i1.40537,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.07338581927542788,37,0.044353056315314936,0.029032762960112944,True,True,2021,es,"Análisis del modelo de gestión escolar en instituciones educativas públicas multigrado de San Ignacio, Perú",10.15517/revedu.v45i1.40537,OpenAlex,metadata,-1,-1,False,-1,0.9266141807245721,,,,,,1.0
doi:10.26490/uncp.alboradaciencia.2021.1.975,doi:10.26490/uncp.alboradaciencia.2021.1.975,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.03251102991538894,20,0.02227514624265464,0.010235883672734303,True,True,2021,es,Planificación estratégica situacional en la gestión escolar de las instituciones educativas,10.26490/uncp.alboradaciencia.2021.1.975,OpenAlex,metadata,-1,-1,False,-1,0.9674889700846111,,,,,,1.0
doi:10.33386/593dp.2024.1-1.2266,doi:10.33386/593dp.2024.1-1.2266,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.14182130279156305,36,0.041726681283567796,0.10009462150799525,True,False,2024,es,Gestión escolar y calidad educativa,10.33386/593dp.2024.1-1.2266,OpenAlex,metadata,-1,-1,False,-1,0.858178697208437,,,,,,0.4
doi:10.37811/cl_rcm.v6i6.4102,doi:10.37811/cl_rcm.v6i6.4102,BERTopic-METADATA-MULTILINGUAL,metadata,15,0.16330156131499457,15,0.09103444963454284,0.07226711168045173,False,True,2022,es,La calidad educativa y la gestión escolar,10.37811/cl_rcm.v6i6.4102,OpenAlex,metadata,15,15,False,15,0.8366984386850054,,,,-0.297276,0.433439,0.1
doi:10.33996/revistahorizontes.v7i30.655,doi:10.33996/revistahorizontes.v7i30.655,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.04083054318519949,35,0.037551346851645545,0.0032791963335539465,True,True,2023,es,Gestión escolar de los directivos en instituciones educativas: Revisión sistemática,10.33996/revistahorizontes.v7i30.655,OpenAlex,metadata,-1,-1,False,-1,0.9591694568148005,,,,,,1.0
doi:10.52080/rvgluz.27.97.5,doi:10.52080/rvgluz.27.97.5,BERTopic-METADATA-MULTILINGUAL,metadata,35,1.0,34,4.841004418938523e-307,1.0,False,False,2022,es,Gestión escolar durante la pandemia: relación entre el acompañamiento pedagógico y el desempeño docente,10.52080/rvgluz.27.97.5,OpenAlex,metadata,35,35,False,35,0.0,,,,0.487993,0.25642,0.6
doi:10.37811/cl_rcm.v8i6.14659,doi:10.37811/cl_rcm.v8i6.14659,BERTopic-METADATA-MULTILINGUAL,metadata,7,0.26903120750331927,32,0.09251219151586718,0.1765190159874521,False,False,2024,es,La gestión escolar en zonas rurales del Ecuador: Avances y desafíos,10.37811/cl_rcm.v8i6.14659,OpenAlex,metadata,7,7,False,7,0.7309687924966808,,,,0.220702,0.271911,1.0
